index,rhop,rhot,total_parallel_current_density_a_per_m2,bootstrap_parallel_current_density_a_per_m2,bootstrap_current_density_raw_jbsbav_a_per_m2,driven_parallel_current_density_a_per_m2
50,0.625,0.4304180386410289,566320.70646,26909.083312930652,12795.5215225,539411.6231470692
51,0.6312190586476298,0.4355179299115109,562769.8564291038,25725.70594054495,12232.814481850846,537044.1504885588
52,0.6373774391990981,0.44060567860660194,559159.3101342949,25693.32687066022,12217.417930404981,533465.9832636346
53,0.6434768838116876,0.44568127641080263,555491.8687487192,27131.355899197406,12901.2142221867,528360.5128495218
54,0.649519052838329,0.45074389570716844,551772.203253588,30263.350602498213,14390.50708171655,521508.8526510898
55,0.6555055301063447,0.4557999602216161,547986.7200402966,34836.38901801247,16565.02974339392,513150.3310222841
56,0.6614378277661477,0.46084886701189254,544139.2408557252,39879.54686521244,18963.09860455811,504259.69399051275
57,0.667317390751957,0.46588999183667035,540233.5205956658,44955.108550096746,21376.575794489203,495278.41204556904
58,0.673145600891813,0.4709272985845199,536261.7412683732,50200.727658623684,23870.916884501,486061.01360974956
59,0.6789237807000135,0.47596489144418536,532215.6229349,55599.09595163916,26437.891644524447,476616.5269832609
60,0.6846531968814576,0.48099979132693044,528104.4610631972,61089.307189086205,29048.53858611192,467015.15387411107
61,0.6903350635742038,0.48603364360425017,523925.93413679337,66684.41048883826,31709.062687212972,457241.52364795515
62,0.6959705453537527,0.4910714030886702,519669.34321455413,72266.63151329468,34363.46114557521,447402.7117012595
63,0.701560760020114,0.49611512128731106,515331.1949210732,77374.13131202213,36792.12520821823,437957.0636090511
64,0.7071067811865476,0.5011628984031921,510917.8660459461,81724.54290072384,38860.786725506594,429193.32314522227
65,0.7126096406869612,0.5062164154585992,506426.69174118293,85529.06692012254,40669.87358316598,420897.6248210604
66,0.7180703308172536,0.511277369924227,501854.8973631975,89201.65586149045,42416.22407367069,412653.2415017071
67,0.7234898064243891,0.5163534109256419,497185.0557183774,92719.90945531859,44089.186658754676,404465.1462630588
68,0.7288689868556626,0.52144132984162,492426.87476023636,95900.0647794528,45601.38034523744,396526.80998078355
69,0.7342087577794206,0.526542067020987,487579.61246813106,98813.27320931142,46986.63827953028,388766.33925881964
70,0.739509972887452,0.5316574340989696,482640.4513296396,101503.97118379653,48266.090405144954,381136.48014584306
71,0.7447734554883115,0.5367892801388675,477607.2347733339,103953.8431440869,49431.02750206202,373653.391629247
72,0.75,0.5419394963511529,472479.79831,106292.20214330999,50542.93914,366187.59616669
73,0.7551903733496608,0.5471164237444376,467244.94967158546,108428.19801397642,51558.62521214315,358816.7516576091
74,0.7603453162872774,0.5523157606233007,461918.3058012919,110250.2271390551,52425.017151751264,351668.0786622368
75,0.7654655446197431,0.5575395536923187,456500.33573575324,111889.00705231138,53204.27237226022,344611.32868344185
76,0.770551750371122,0.5627899122515594,450991.0180228956,113351.21266231191,53899.56485530408,337639.8053605837
77,0.7756046028744286,0.5680690133796926,445389.85796937824,114619.25877973891,54502.532678413205,330770.5991896393
78,0.7806247497997998,0.573379107323998,439696.2382987222,115694.70201956149,55013.91602660643,324001.5362791607
79,0.7856128181235335,0.5787225251323825,433909.4255375131,116590.8055867284,55440.02167824576,317318.6199507847
80,0.7905694150420949,0.5841016872235664,428028.3438343952,117259.13143053498,55757.816885872206,310769.2124038602
81,0.795495128834866,0.5895196834789389,422050.7496535164,117794.32305865965,56012.30552514295,304256.4265948568
82,0.8003905296791061,0.5949831661539265,415968.6076054837,118072.95608309764,56144.79814184099,297895.651522386
83,0.8052561704203204,0.6004902659125473,409789.39734032174,117990.46946375787,56105.57498062043,291798.92787656386
84,0.8100925873009825,0.6060438360136813,403512.10336877237,117688.7970429879,55962.12691485701,285823.3063257844
85,0.8149003006503311,0.6116468637870144,397136.12496807997,117137.19914267001,55699.83693926754,279998.92582541
86,0.81967981553775,0.6173024831666678,390661.41194633325,116306.51773226484,55304.84013682826,274354.8942140684
87,0.8244316223920575,0.6230139886740779,384088.3314229888,115198.54216269687,54777.98736068785,268889.78926029196
88,0.82915619758885,0.6287848480646033,377417.93702374346,113786.4554211389,54106.5268697034,263631.48160260456
89,0.8338540040078959,0.6346187170820403,370652.5032561483,112050.0975718276,53280.87242531925,258602.4056843207
90,0.8385254915624212,0.640519457573923,363795.524777276,110021.47434192522,52316.24305101477,253774.05043535077
91,0.8431710977020026,0.6464911548907879,356851.92900489894,107871.79931437646,51294.05241146357,248980.12969052247
92,0.8477912478906585,0.652538135662541,349828.8524102519,105690.36210232055,50256.75855524994,244138.49030793138
93,0.852386356061616,0.6586649899990901,342736.02299063664,103469.4887250984,49200.71243258853,239266.53426553827
94,0.8569568250501305,0.664876594557904,335586.02477658156,101217.82591575039,48130.0256461464,234368.19886083118
95,0.8615030470056388,0.6711781349067887,328395.39854452433,98934.26139379323,47044.169296120555,229461.13715073108
96,0.8660254037844386,0.677575132236254,321185.5513722182,96600.91408795248,45934.64076539555,224584.63728426566
97,0.8705242673240075,0.6840734709916695,313983.3052608625,94202.58276371384,44794.21172437226,219780.72249714864
