index,rho,total_istar,pressure_offset_istar,bootstrap_istar,driven_istar,istar_per_jparallel,cppr_norm,tmf_norm,cid0,cid2,reconstructed_total_istar,rb2av
37,0.16818181818,1.5473705,-0.027832905791521454,0.011169467831154573,1.5640339379603672,1.0039719763236588,-0.4345518,1.115977934973525,1.050124982517949,1.1093109592251351,1.5473705000000002,1.0585052752963602
38,0.17272727273,1.5451208,-0.02765950316053609,0.012076919117351701,1.560703384043184,1.0035708766220148,-0.42673311,1.1156504767953201,1.048232893869871,1.1056943587853896,1.5451207999999996,1.0605284458350561
39,0.17727272727,1.5428458,-0.027459693003352804,0.01301595536942763,1.5572895376339253,1.0031455828930111,-0.41893399,1.11531231141199,1.0463311629468421,1.1020734430793881,1.5428458,1.062584241513293
40,0.18181818182,1.540547,-0.02723585839472196,0.01399029828591972,1.5537925601088025,1.0026975886907261,-0.41116648,1.1149633556928684,1.0444197750617317,1.0984482411524574,1.5405470000000003,1.0646712762896398
41,0.18636363636,1.5382259,-0.026990326604305677,0.015001927050295131,1.5502142995540107,1.002228421845035,-0.40344187,1.1146035318514025,1.042498714346081,1.094818781171882,1.5382259,1.0667881239092998
42,0.19090909091,1.5358837,-0.026725338351296892,0.016049672225480524,1.5465593661258168,1.0017394920905596,-0.39577135,1.114232767618343,1.0405679652392605,1.0911850915305197,1.5358837000000005,1.068933477981684
43,0.19545454545,1.5335217,-0.026443258709650863,0.017132443224763507,1.542832515484887,1.0012325657599774,-0.38816607,1.1138509965386394,1.038627511521569,1.0875472001395983,1.5335216999999997,1.0711056463433601
44,0.2,1.5311411,-0.02614631486361684,0.018251881452551796,1.5390355334110648,1.000709184665193,-0.38063717,1.1134581584167822,1.0366773367248017,1.0839051347261903,1.5311410999999997,1.0733031688430432
45,0.20454545455,1.5287431,-0.025836596455820787,0.01942177555933983,1.5351579208964812,1.0001707992390652,-0.37319488,1.1130541995642158,1.034717424282628,1.0802589229488408,1.5287431000000002,1.0755246766916469
46,0.20909090909,1.5263285,-0.02551597410487146,0.02064315924040466,1.5312013148644668,0.9996185632333247,-0.36584856,1.1126390726014082,1.0327477567966252,1.0766085918640786,1.5263285,1.077769115130615
47,0.21363636364,1.5238983,-0.025186385507384498,0.021914813950392752,1.5271698715569917,0.999053875657682,-0.35860757,1.1122127368784533,1.0307683173453102,1.0729541688716062,1.5238983,1.080035160404722
