    0.74459865E+00
   -0.94091421E-02
    0.13104599E-02
  300
    0.13439243E+01   -0.78787221E+00
    0.13572259E+01   -0.77345633E+00
    0.13701340E+01   -0.75914598E+00
    0.13826576E+01   -0.74492734E+00
    0.13948043E+01   -0.73078644E+00
    0.14065846E+01   -0.71672161E+00
    0.14180124E+01   -0.70273888E+00
    0.14290936E+01   -0.68882698E+00
    0.14398309E+01   -0.67497091E+00
    0.14502324E+01   -0.66116973E+00
    0.14603087E+01   -0.64742784E+00
    0.14700707E+01   -0.63374961E+00
    0.14795310E+01   -0.62014179E+00
    0.14887028E+01   -0.60661158E+00
    0.14975977E+01   -0.59316215E+00
    0.15062239E+01   -0.57979174E+00
    0.15145877E+01   -0.56649594E+00
    0.15226919E+01   -0.55326684E+00
    0.15305378E+01   -0.54009567E+00
    0.15381313E+01   -0.52698089E+00
    0.15454820E+01   -0.51392565E+00
    0.15526005E+01   -0.50093369E+00
    0.15594994E+01   -0.48801017E+00
    0.15661924E+01   -0.47516046E+00
    0.15726915E+01   -0.46238741E+00
    0.15790065E+01   -0.44969067E+00
    0.15851458E+01   -0.43706860E+00
    0.15911166E+01   -0.42451818E+00
    0.15969209E+01   -0.41203235E+00
    0.16025593E+01   -0.39960335E+00
    0.16080319E+01   -0.38722395E+00
    0.16133364E+01   -0.37488599E+00
    0.16184692E+01   -0.36258128E+00
    0.16234254E+01   -0.35030198E+00
    0.16282025E+01   -0.33804269E+00
    0.16328051E+01   -0.32580317E+00
    0.16372429E+01   -0.31358607E+00
    0.16415255E+01   -0.30139307E+00
    0.16456620E+01   -0.28922511E+00
    0.16496596E+01   -0.27708142E+00
    0.16535225E+01   -0.26495958E+00
    0.16572545E+01   -0.25285680E+00
    0.16608598E+01   -0.24077033E+00
    0.16643344E+01   -0.22869423E+00
    0.16676638E+01   -0.21661913E+00
    0.16708272E+01   -0.20453511E+00
    0.16738103E+01   -0.19243654E+00
    0.16766200E+01   -0.18032559E+00
    0.16792730E+01   -0.16820666E+00
    0.16817874E+01   -0.15608303E+00
    0.16841788E+01   -0.14395595E+00
    0.16864545E+01   -0.13182351E+00
    0.16885971E+01   -0.11967868E+00
    0.16905840E+01   -0.10751505E+00
    0.16923931E+01   -0.95328301E-01
    0.16940028E+01   -0.83116153E-01
    0.16953947E+01   -0.70878440E-01
    0.16965712E+01   -0.58618326E-01
    0.16975439E+01   -0.46339326E-01
    0.16983242E+01   -0.34043941E-01
    0.16989233E+01   -0.21733692E-01
    0.16993524E+01   -0.94091421E-02
 221    4
    4    0
  0.00000000E+00
  4.54545455E-03
  9.09090909E-03
  1.36363636E-02
  1.81818182E-02
  2.27272727E-02
  2.72727273E-02
  3.18181818E-02
  3.63636364E-02
  4.09090909E-02
  4.54545455E-02
  5.00000000E-02
  5.45454545E-02
  5.90909091E-02
  6.36363636E-02
  6.81818182E-02
  7.27272727E-02
  7.72727273E-02
  8.18181818E-02
  8.63636364E-02
  9.09090909E-02
  9.54545455E-02
  1.00000000E-01
  1.04545455E-01
  1.09090909E-01
  1.13636364E-01
  1.18181818E-01
  1.22727273E-01
  1.27272727E-01
  1.31818182E-01
  1.36363636E-01
  1.40909091E-01
  1.45454545E-01
  1.50000000E-01
  1.54545455E-01
  1.59090909E-01
  1.63636364E-01
  1.68181818E-01
  1.72727273E-01
  1.77272727E-01
  1.81818182E-01
  1.86363636E-01
  1.90909091E-01
  1.95454545E-01
  2.00000000E-01
  2.04545455E-01
  2.09090909E-01
  2.13636364E-01
  2.18181818E-01
  2.22727273E-01
  2.27272727E-01
  2.31818182E-01
  2.36363636E-01
  2.40909091E-01
  2.45454545E-01
  2.50000000E-01
  2.54545455E-01
  2.59090909E-01
  2.63636364E-01
  2.68181818E-01
  2.72727273E-01
  2.77272727E-01
  2.81818182E-01
  2.86363636E-01
  2.90909091E-01
  2.95454545E-01
  3.00000000E-01
  3.04545455E-01
  3.09090909E-01
  3.13636364E-01
  3.18181818E-01
  3.22727273E-01
  3.27272727E-01
  3.31818182E-01
  3.36363636E-01
  3.40909091E-01
  3.45454545E-01
  3.50000000E-01
  3.54545455E-01
  3.59090909E-01
  3.63636364E-01
  3.68181818E-01
  3.72727273E-01
  3.77272727E-01
  3.81818182E-01
  3.86363636E-01
  3.90909091E-01
  3.95454545E-01
  4.00000000E-01
  4.04545455E-01
  4.09090909E-01
  4.13636364E-01
  4.18181818E-01
  4.22727273E-01
  4.27272727E-01
  4.31818182E-01
  4.36363636E-01
  4.40909091E-01
  4.45454545E-01
  4.50000000E-01
  4.54545455E-01
  4.59090909E-01
  4.63636364E-01
  4.68181818E-01
  4.72727273E-01
  4.77272727E-01
  4.81818182E-01
  4.86363636E-01
  4.90909091E-01
