   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260924   3 513 513
 1.356582998E+00 2.546706524E+00 8.500000000E-01 1.498580280E-01-8.045780290E-03
 9.444444004E-01-8.045780290E-03-6.949544239E-02 0.000000000E+00 -4.75509380E-01
 7.535706096E+05-6.949544239E-02 0.000000000E+00 9.444444004E-01 0.000000000E+00
 -4.04330021E-01 -4.04301356E-01 -4.04274268E-01 -4.04248590E-01 -4.04224103E-01
 -4.04200590E-01 -4.04177834E-01 -4.04155616E-01 -4.04133715E-01 -4.04111911E-01
 -4.04089986E-01 -4.04067860E-01 -4.04045914E-01 -4.04024622E-01 -4.04004453E-01
 -4.03985868E-01 -4.03969229E-01 -4.03954807E-01 -4.03942868E-01 -4.03933678E-01
 -4.03927438E-01 -4.03924109E-01 -4.03923594E-01 -4.03925795E-01 -4.03930617E-01
 -4.03937969E-01 -4.03947764E-01 -4.03959917E-01 -4.03974344E-01 -4.03990892E-01
 -4.04009010E-01 -4.04027999E-01 -4.04047166E-01 -4.04065825E-01 -4.04083507E-01
 -4.04100152E-01 -4.04115741E-01 -4.04130256E-01 -4.04143670E-01 -4.04155851E-01
 -4.04166597E-01 -4.04175705E-01 -4.04182973E-01
 1.347002070E+04 1.342830302E+04 1.338714991E+04 1.334636373E+04 1.330587771E+04
 1.326608449E+04 1.322732999E+04 1.318952593E+04 1.315260180E+04 1.311655837E+04
 1.308140219E+04 1.304708762E+04 1.301357593E+04 1.298084428E+04 1.294887447E+04
 1.291763817E+04 1.288711108E+04 1.285726506E+04 1.282807364E+04 1.279951926E+04
 1.277158367E+04 1.274423871E+04 1.271745759E+04 1.269122669E+04 1.266553276E+04
 1.264034938E+04 1.261564987E+04 1.259142447E+04 1.256766236E+04 1.254433900E+04
 1.252143053E+04 1.249892825E+04 1.247682809E+04 1.245510390E+04 1.243372930E+04
 1.241270283E+04 1.239201696E+04 1.237165006E+04 1.235158334E+04 1.233181180E+04
 1.231232805E+04 1.229311461E+04 1.227415500E+04 1.225544319E+04 1.223697355E+04
 1.221873063E+04 1.220069966E+04 1.218287622E+04 1.216525434E+04 1.214782068E+04
 1.213056071E+04 1.211347387E+04 1.209655406E+04 1.207978864E+04 1.206316373E+04
 1.204667658E+04 1.203032627E+04 1.201409994E+04 1.199798842E+04 1.198198687E+04
 1.196609180E+04 1.195029531E+04 1.193458673E+04 1.191896448E+04 1.190342590E+04
 1.188796140E+04 1.187256465E+04 1.185723193E+04 1.184195935E+04 1.182674144E+04
 1.181157044E+04 1.179644276E+04 1.178135727E+04 1.176630773E+04 1.175128787E+04
 1.173629605E+04 1.172132925E+04 1.170638154E+04 1.169144909E+04 1.167652981E+04
 1.166162012E+04 1.164671583E+04 1.163181309E+04 1.161690857E+04 1.160200002E+04
 1.158708480E+04 1.157215903E+04 1.155721957E+04 1.154226463E+04 1.152729182E+04
 1.151229784E+04 1.149728007E+04 1.148223664E+04 1.146716533E+04 1.145206349E+04
 1.143692886E+04 1.142175951E+04 1.140655344E+04 1.139130858E+04 1.137602292E+04
 1.136069456E+04 1.134532170E+04 1.132990272E+04 1.131443591E+04 1.129891945E+04
 1.128335169E+04 1.126773128E+04 1.125205684E+04 1.123632688E+04 1.122053991E+04
 1.120469432E+04 1.118878864E+04 1.117282195E+04 1.115679343E+04 1.114070159E+04
 1.112454466E+04 1.110832167E+04 1.109203230E+04 1.107567565E+04 1.105925006E+04
 1.104275422E+04 1.102618777E+04 1.100955038E+04 1.099284085E+04 1.097605778E+04
 1.095920043E+04 1.094226854E+04 1.092526163E+04 1.090817877E+04 1.089101905E+04
 1.087378145E+04 1.085646503E+04 1.083906940E+04 1.082159457E+04 1.080404012E+04
 1.078640496E+04 1.076868812E+04 1.075088940E+04 1.073300882E+04 1.071504602E+04
 1.069700028E+04 1.067887091E+04 1.066065733E+04 1.064235898E+04 1.062397566E+04
 1.060550741E+04 1.058695404E+04 1.056831493E+04 1.054958945E+04 1.053077732E+04
 1.051187849E+04 1.049289286E+04 1.047382021E+04 1.045466031E+04 1.043541283E+04
 1.041607737E+04 1.039665368E+04 1.037714187E+04 1.035754209E+04 1.033785428E+04
 1.031807820E+04 1.029821361E+04 1.027826027E+04 1.025821796E+04 1.023808660E+04
 1.021786637E+04 1.019755740E+04 1.017715965E+04 1.015667294E+04 1.013609709E+04
 1.011543202E+04 1.009467764E+04 1.007383398E+04 1.005290121E+04 1.003187950E+04
 1.001076890E+04 9.989569374E+03 9.968280903E+03 9.946903517E+03 9.925437262E+03
 9.903882228E+03 9.882238594E+03 9.860506549E+03 9.838686227E+03 9.816777700E+03
 9.794781034E+03 9.772696242E+03 9.750523302E+03 9.728262197E+03 9.705912927E+03
 9.683475498E+03 9.660949914E+03 9.638336166E+03 9.615634243E+03 9.592844098E+03
 9.569965592E+03 9.546998583E+03 9.523942967E+03 9.500798698E+03 9.477565742E+03
 9.454244121E+03 9.430833920E+03 9.407335227E+03 9.383748094E+03 9.360072541E+03
 9.336308584E+03 9.312456210E+03 9.288515381E+03 9.264486058E+03 9.240368191E+03
 9.216161719E+03 9.191866583E+03 9.167482752E+03 9.143010207E+03 9.118448927E+03
 9.093798814E+03 9.069059729E+03 9.044231543E+03 9.019314185E+03 8.994307622E+03
 8.969211828E+03 8.944026793E+03 8.918752525E+03 8.893389047E+03 8.867936634E+03
 8.842395757E+03 8.816766857E+03 8.791049691E+03 8.765243357E+03 8.739346989E+03
 8.713361532E+03 8.687290197E+03 8.661136252E+03 8.634898800E+03 8.608569759E+03
 8.582140448E+03 8.555610152E+03 8.528998505E+03 8.502328143E+03 8.475615504E+03
 8.448852041E+03 8.422022825E+03 8.395131889E+03 8.368321876E+03 8.341795735E+03
 8.315751349E+03 8.290340325E+03 8.265678235E+03 8.241875301E+03 8.218896905E+03
 8.196506391E+03 8.174454664E+03 8.152515493E+03 8.130520953E+03 8.108314745E+03
 8.085756825E+03 8.062799090E+03 8.039428900E+03 8.015634907E+03 7.991424466E+03
 7.966820629E+03 7.941846623E+03 7.916517738E+03 7.890834243E+03 7.864794705E+03
 7.838398978E+03 7.811653396E+03 7.784566287E+03 7.757145842E+03 7.729399389E+03
 7.701333520E+03 7.672954741E+03 7.644269749E+03 7.615285778E+03 7.586010066E+03
 7.556449730E+03 7.526611470E+03 7.496501759E+03 7.466127004E+03 7.435493664E+03
 7.404608296E+03 7.373477398E+03 7.342107362E+03 7.310504312E+03 7.278674251E+03
 7.246623153E+03 7.214357789E+03 7.181885759E+03 7.149214628E+03 7.116351679E+03
 7.083303299E+03 7.050075609E+03 7.016674742E+03 6.983108472E+03 6.949386203E+03
 6.915517319E+03 6.881509451E+03 6.847363047E+03 6.813076644E+03 6.778649085E+03
 6.744088603E+03 6.709414515E+03 6.674646603E+03 6.639811311E+03 6.604975775E+03
 6.570221594E+03 6.535629591E+03 6.501279907E+03 6.467252099E+03 6.433624968E+03
 6.400470508E+03 6.367791739E+03 6.335548532E+03 6.303700452E+03 6.272197008E+03
 6.240951791E+03 6.209871288E+03 6.178863692E+03 6.147870650E+03 6.116877072E+03
 6.085870907E+03 6.054841572E+03 6.023791392E+03 5.992729717E+03 5.961665883E+03
 5.930607079E+03 5.899552980E+03 5.868501583E+03 5.837450925E+03 5.806400716E+03
 5.775353317E+03 5.744311308E+03 5.713277193E+03 5.682252689E+03 5.651238887E+03
 5.620236847E+03 5.589247691E+03 5.558272979E+03 5.527314443E+03 5.496373802E+03
 5.465452766E+03 5.434553061E+03 5.403676407E+03 5.372824505E+03 5.341999135E+03
 5.311202235E+03 5.280435742E+03 5.249701583E+03 5.219001783E+03 5.188338488E+03
 5.157713833E+03 5.127129946E+03 5.096589110E+03 5.066093727E+03 5.035646179E+03
 5.005248848E+03 4.974904267E+03 4.944615041E+03 4.914383752E+03 4.884212987E+03
 4.854105467E+03 4.824063953E+03 4.794091182E+03 4.764189916E+03 4.734363115E+03
 4.704613779E+03 4.674944884E+03 4.645359461E+03 4.615860821E+03 4.586452314E+03
 4.557137267E+03 4.527919084E+03 4.498801479E+03 4.469788202E+03 4.440882974E+03
 4.412089618E+03 4.383412312E+03 4.354855265E+03 4.326422653E+03 4.298118784E+03
 4.269948380E+03 4.241916203E+03 4.214026977E+03 4.186285577E+03 4.158697373E+03
 4.131267789E+03 4.104002203E+03 4.076906154E+03 4.049985763E+03 4.023247224E+03
 3.996696683E+03 3.970340435E+03 3.944185448E+03 3.918238796E+03 3.892507499E+03
 3.866998713E+03 3.841720393E+03 3.816680676E+03 3.791887634E+03 3.767349434E+03
 3.743075115E+03 3.719073991E+03 3.695355308E+03 3.671928347E+03 3.648803257E+03
 3.625990585E+03 3.603500805E+03 3.581344376E+03 3.559532600E+03 3.538077373E+03
 3.516990520E+03 3.496283805E+03 3.475969807E+03 3.456062004E+03 3.436573830E+03
 3.417518625E+03 3.398910313E+03 3.380763925E+03 3.363094512E+03 3.345917013E+03
 3.329246237E+03 3.313096826E+03 3.297483298E+03 3.282420071E+03 3.267920940E+03
 3.253996448E+03 3.240655872E+03 3.227908418E+03 3.215762925E+03 3.204223980E+03
 3.193293063E+03 3.182971571E+03 3.173260819E+03 3.164158463E+03 3.155656845E+03
 3.147747932E+03 3.140423743E+03 3.133674266E+03 3.127482803E+03 3.121831404E+03
 3.116702238E+03 3.112076798E+03 3.107930116E+03 3.104234138E+03 3.100960976E+03
 3.098082738E+03 3.095565833E+03 3.093369978E+03 3.091454765E+03 3.089780055E+03
 3.088302893E+03 3.086971208E+03 3.085731487E+03 3.084530570E+03 3.083314695E+03
 3.082021311E+03 3.080583198E+03 3.078933523E+03 3.077005771E+03 3.074726612E+03
 3.072011906E+03 3.068777088E+03 3.064938142E+03 3.060409016E+03 3.055091085E+03
 3.048882205E+03 3.041680888E+03 3.033385525E+03 3.023876132E+03 3.013013877E+03
 3.000659917E+03 2.986676299E+03 2.970917173E+03 2.953205960E+03 2.933360069E+03
 2.911198070E+03 2.886532482E+03 2.859049928E+03 2.828330334E+03 2.793952768E+03
 2.755498936E+03 2.712530769E+03 2.664538934E+03 2.611002016E+03 2.551401855E+03
 2.485238770E+03 2.412300441E+03 2.332627290E+03 2.246268190E+03 2.153271739E+03
 2.053876580E+03 1.949061452E+03 1.839979702E+03 1.727777664E+03 1.613597335E+03
 1.498651315E+03 1.384233309E+03 1.271634030E+03 1.162136404E+03 1.056945034E+03
 9.568372417E+02 8.624309530E+02 7.743401362E+02 6.931716286E+02 6.191738982E+02
 5.519368761E+02 4.909816618E+02 4.358321731E+02 3.860287803E+02 3.412868655E+02
 3.014413968E+02 2.663305959E+02 2.357936193E+02
-5.029799471E-01-5.090251892E-01-5.102874617E-01-5.108076062E-01-5.114521447E-01
