# rhot j_driven_a_per_m2 j_bootstrap_lagged_a_per_m2 j_total_target_a_per_m2
0.3508979952 5.0517636629e+05 1.0870606001e+05 6.1388242630e+05
0.3564533913 5.0332065863e+05 1.0768797701e+05 6.1100863564e+05
0.3619603645 5.0229521647e+05 1.0580363177e+05 6.0809884824e+05
0.3674224968 5.0200012422e+05 1.0315047175e+05 6.0515059596e+05
0.3728444123 5.0304992558e+05 9.9108331335e+04 6.0215825691e+05
0.3782251145 5.0537704001e+05 9.3753509362e+04 5.9913054938e+05
0.3835724581 5.0869469189e+05 8.7357952469e+04 5.9605264436e+05
0.3888827342 5.1247839862e+05 8.0461318543e+04 5.9293971716e+05
0.3941645826 5.1676266997e+05 7.3011679975e+04 5.8977434994e+05
0.3994136535 5.2143541312e+05 6.5137124577e+04 5.8657253770e+05
0.4046389927 5.2654915555e+05 5.6766352236e+04 5.8331550779e+05
0.4098362003 5.3198325613e+05 4.8035510271e+04 5.8001876640e+05
0.4150123016 5.3677824012e+05 3.9890076841e+04 5.7666831696e+05
0.4201660845 5.3988152271e+05 3.3389440258e+04 5.7327096296e+05
0.4252997495 5.4067128788e+05 2.9153357542e+04 5.6982464542e+05
0.4304180386 5.3941162315e+05 2.6909083313e+04 5.6632070646e+05
0.4355179299 5.3704415049e+05 2.5725705941e+04 5.6276985643e+05
0.4406056786 5.3346598326e+05 2.5693326871e+04 5.5915931013e+05
0.4456812764 5.2836051285e+05 2.7131355899e+04 5.5549186875e+05
0.4507438957 5.2150885265e+05 3.0263350602e+04 5.5177220325e+05
0.4557999602 5.1315033102e+05 3.4836389018e+04 5.4798672004e+05
0.4608488670 5.0425969399e+05 3.9879546865e+04 5.4413924086e+05
0.4658899918 4.9527841205e+05 4.4955108550e+04 5.4023352060e+05
0.4709272986 4.8606101361e+05 5.0200727659e+04 5.3626174127e+05
0.4759648914 4.7661652698e+05 5.5599095952e+04 5.3221562293e+05
0.4809997913 4.6701515387e+05 6.1089307189e+04 5.2810446106e+05
0.4860336436 4.5724152365e+05 6.6684410489e+04 5.2392593414e+05
0.4910714031 4.4740271170e+05 7.2266631513e+04 5.1966934321e+05
0.4961151213 4.3795706361e+05 7.7374131312e+04 5.1533119492e+05
0.5011628984 4.2919332315e+05 8.1724542901e+04 5.1091786605e+05
0.5062164155 4.2089762482e+05 8.5529066920e+04 5.0642669174e+05
0.5112773699 4.1265324150e+05 8.9201655861e+04 5.0185489736e+05
0.5163534109 4.0446514626e+05 9.2719909455e+04 4.9718505572e+05
0.5214413298 3.9652680998e+05 9.5900064779e+04 4.9242687476e+05
0.5265420670 3.8876633926e+05 9.8813273209e+04 4.8757961247e+05
0.5316574341 3.8113648015e+05 1.0150397118e+05 4.8264045133e+05
0.5367892801 3.7365339163e+05 1.0395384314e+05 4.7760723477e+05
0.5419394964 3.6618759617e+05 1.0629220214e+05 4.7247979831e+05
0.5471164237 3.5881675166e+05 1.0842819801e+05 4.6724494967e+05
0.5523157606 3.5166807866e+05 1.1025022714e+05 4.6191830580e+05
0.5575395537 3.4461132868e+05 1.1188900705e+05 4.5650033574e+05
0.5627899123 3.3763980536e+05 1.1335121266e+05 4.5099101802e+05
0.5680690134 3.3077059919e+05 1.1461925878e+05 4.4538985797e+05
0.5733791073 3.2400153628e+05 1.1569470202e+05 4.3969623830e+05
0.5787225251 3.1731861995e+05 1.1659080559e+05 4.3390942554e+05
0.5841016872 3.1076921240e+05 1.1725913143e+05 4.2802834383e+05
0.5895196835 3.0425642659e+05 1.1779432306e+05 4.2205074965e+05
0.5949831662 2.9789565152e+05 1.1807295608e+05 4.1596860761e+05
0.6004902659 2.9179892788e+05 1.1799046946e+05 4.0978939734e+05
0.6060438360 2.8582330633e+05 1.1768879704e+05 4.0351210337e+05
