#psi, P, q
3.359375000000000000e-01 1.590387793000000056e+04 1.285056602000000048e+00
3.378906250000000000e-01 1.586979102000000057e+04 1.287340767999999969e+00
3.398437500000000000e-01 1.583555213000000003e+04 1.289640158000000092e+00
3.417968750000000000e-01 1.580116107000000011e+04 1.291954921999999950e+00
3.437500000000000000e-01 1.576661753999999928e+04 1.294285224000000012e+00
3.457031250000000000e-01 1.573192123999999967e+04 1.296631223000000110e+00
3.476562500000000000e-01 1.569707190000000082e+04 1.298993086000000075e+00
3.496093750000000000e-01 1.566206929999999920e+04 1.301370976999999929e+00
3.515625000000000000e-01 1.562691325999999935e+04 1.303765059999999920e+00
3.535156250000000000e-01 1.559160377999999946e+04 1.306175499999999934e+00
3.554687500000000000e-01 1.555614085999999952e+04 1.308602459000000051e+00
3.574218750000000000e-01 1.552052442999999948e+04 1.311046099999999992e+00
3.593749999999999445e-01 1.548475434999999925e+04 1.313506588999999947e+00
3.613281250000000000e-01 1.544883048000000053e+04 1.315984087999999996e+00
3.632812500000000000e-01 1.541275267999999960e+04 1.318478763999999970e+00
3.652343750000000000e-01 1.537652082999999948e+04 1.320990789999999970e+00
3.671875000000000555e-01 1.534013483000000087e+04 1.323520334999999992e+00
3.691406249999999445e-01 1.530359463999999934e+04 1.326067566000000086e+00
3.710937500000000000e-01 1.526690026000000034e+04 1.328632652000000025e+00
3.730468750000000000e-01 1.523005169999999998e+04 1.331215760000000081e+00
3.750000000000000000e-01 1.519304893000000084e+04 1.333817070999999910e+00
3.769531250000000555e-01 1.515589193999999952e+04 1.336436766000000054e+00
3.789062500000000000e-01 1.511858070000000043e+04 1.339075022999999920e+00
3.808593750000000000e-01 1.508111520999999993e+04 1.341732021999999969e+00
3.828125000000000000e-01 1.504349544000000060e+04 1.344407941000000051e+00
3.847656250000000000e-01 1.500572141000000011e+04 1.347102951999999965e+00
3.867187499999999445e-01 1.496779317000000083e+04 1.349817221999999983e+00
3.886718750000000000e-01 1.492971076999999968e+04 1.352550914000000049e+00
3.906250000000000000e-01 1.489147428000000036e+04 1.355304196000000072e+00
3.925781250000000000e-01 1.485308374000000003e+04 1.358077242000000018e+00
3.945312500000000555e-01 1.481453921000000082e+04 1.360870224999999989e+00
3.964843749999999445e-01 1.477584075999999914e+04 1.363683334999999941e+00
3.984375000000000000e-01 1.473698848999999973e+04 1.366516776000000100e+00
4.003906250000000000e-01 1.469798245999999926e+04 1.369370752000000024e+00
4.023437500000000000e-01 1.465882281999999941e+04 1.372245468000000024e+00
4.042968750000000555e-01 1.461950969000000077e+04 1.375141127000000019e+00
4.062500000000000000e-01 1.458004322999999931e+04 1.378057936999999900e+00
4.082031250000000000e-01 1.454042360000000008e+04 1.380996129999999988e+00
4.101562500000000000e-01 1.450065094999999928e+04 1.383955956999999959e+00
4.121093750000000000e-01 1.446072545999999966e+04 1.386937668000000068e+00
4.140624999999999445e-01 1.442064727999999923e+04 1.389941536999999894e+00
4.160156250000000000e-01 1.438041653000000042e+04 1.392967851000000090e+00
