   FROM CHEASE,SI UNITS,COCOS=2, IP,B0>020260925   3 513 513
 1.361945010E+00 2.443413960E+00 8.500000240E-01 1.427304047E-01-6.323755147E-03
 9.430445796E-01-6.323755147E-03-6.864468261E-02 0.000000000E+00 -4.87488985E-01
 7.440705163E+05-6.864468261E-02 0.000000000E+00 9.430445796E-01 0.000000000E+00
 1.205807153E+04 1.204451920E+04 1.203096044E+04 1.201739507E+04 1.200382285E+04
 1.199024357E+04 1.197665710E+04 1.196306327E+04 1.194946183E+04 1.193585252E+04
 1.192223510E+04 1.190860935E+04 1.189497506E+04 1.188133205E+04 1.186767999E+04
 1.185401853E+04 1.184034745E+04 1.182666660E+04 1.181297573E+04 1.179927438E+04
 1.178556216E+04 1.177183896E+04 1.175810460E+04 1.174435865E+04 1.173060056E+04
 1.171683004E+04 1.170304695E+04 1.168925104E+04 1.167544183E+04 1.166161885E+04
 1.164778156E+04 1.163392942E+04 1.162006216E+04 1.160617966E+04 1.159228157E+04
 1.157836713E+04 1.156443564E+04 1.155048686E+04 1.153652067E+04 1.152253665E+04
 1.150853411E+04 1.149451237E+04 1.148047069E+04 1.146640842E+04 1.145232515E+04
 1.143822070E+04 1.142409465E+04 1.140994604E+04 1.139577392E+04 1.138157768E+04
 1.136735692E+04 1.135311119E+04 1.133883983E+04 1.132454215E+04 1.131021721E+04
 1.129586391E+04 1.128148139E+04 1.126706938E+04 1.125262768E+04 1.123815573E+04
 1.122365262E+04 1.120911747E+04 1.119454936E+04 1.117994738E+04 1.116531096E+04
 1.115064000E+04 1.113593437E+04 1.112119352E+04 1.110641663E+04 1.109160290E+04
 1.107675162E+04 1.106186207E+04 1.104693382E+04 1.103196676E+04 1.101696080E+04
 1.100191547E+04 1.098683012E+04 1.097170410E+04 1.095653679E+04 1.094132761E+04
 1.092607611E+04 1.091078213E+04 1.089544556E+04 1.088006611E+04 1.086464330E+04
 1.084917667E+04 1.083366574E+04 1.081811003E+04 1.080250909E+04 1.078686263E+04
 1.077117040E+04 1.075543217E+04 1.073964768E+04 1.072381666E+04 1.070793883E+04
 1.069201376E+04 1.067604106E+04 1.066002032E+04 1.064395122E+04 1.062783343E+04
 1.061166669E+04 1.059545085E+04 1.057918577E+04 1.056287121E+04 1.054650685E+04
 1.053009241E+04 1.051362753E+04 1.049711189E+04 1.048054515E+04 1.046392704E+04
 1.044725732E+04 1.043053578E+04 1.041376223E+04 1.039693650E+04 1.038005842E+04
 1.036312774E+04 1.034614421E+04 1.032910754E+04 1.031201744E+04 1.029487359E+04
 1.027767568E+04 1.026042347E+04 1.024311675E+04 1.022575532E+04 1.020833898E+04
 1.019086753E+04 1.017334077E+04 1.015575850E+04 1.013812051E+04 1.012042660E+04
 1.010267651E+04 1.008486992E+04 1.006700654E+04 1.004908608E+04 1.003110825E+04
 1.001307281E+04 9.994979496E+03 9.976828109E+03 9.958618446E+03 9.940350304E+03
 9.922023460E+03 9.903637687E+03 9.885192758E+03 9.866688424E+03 9.848124427E+03
 9.829500510E+03 9.810816369E+03 9.792071662E+03 9.773266054E+03 9.754399225E+03
 9.735470879E+03 9.716480729E+03 9.697428491E+03 9.678313899E+03 9.659136694E+03
 9.639896610E+03 9.620593344E+03 9.601226579E+03 9.581796003E+03 9.562301319E+03
 9.542742245E+03 9.523118504E+03 9.503429775E+03 9.483675655E+03 9.463855735E+03
 9.443969604E+03 9.424016813E+03 9.403996905E+03 9.383909431E+03 9.363753980E+03
 9.343530178E+03 9.323237652E+03 9.302876015E+03 9.282444832E+03 9.261943669E+03
 9.241372090E+03 9.220729649E+03 9.200015892E+03 9.179230374E+03 9.158372619E+03
 9.137442113E+03 9.116438345E+03 9.095360810E+03 9.074209013E+03 9.052982464E+03
 9.031680674E+03 9.010303065E+03 8.988848959E+03 8.967317682E+03 8.945708553E+03
 8.924020847E+03 8.902253829E+03 8.880406776E+03 8.858479003E+03 8.836469861E+03
 8.814378708E+03 8.792204888E+03 8.769947657E+03 8.747606250E+03 8.725179912E+03
 8.702667863E+03 8.680069293E+03 8.657383401E+03 8.634609382E+03 8.611746370E+03
 8.588793484E+03 8.565749852E+03 8.542614571E+03 8.519386678E+03 8.496065213E+03
 8.472649220E+03 8.449137680E+03 8.425529542E+03 8.401823762E+03 8.378019280E+03
 8.354114942E+03 8.330109582E+03 8.306002047E+03 8.281791144E+03 8.257475630E+03
 8.233054267E+03 8.208525810E+03 8.183888840E+03 8.159141844E+03 8.134283325E+03
 8.109311767E+03 8.084225549E+03 8.059023036E+03 8.033702613E+03 8.008262645E+03
 7.982701466E+03 7.957017420E+03 7.931208858E+03 7.905273997E+03 7.879210953E+03
 7.853017855E+03 7.826692832E+03 7.800233918E+03 7.773639117E+03 7.746906454E+03
 7.720033948E+03 7.693019570E+03 7.665861294E+03 7.638557114E+03 7.611105030E+03
 7.583503048E+03 7.555749189E+03 7.527841491E+03 7.499777982E+03 7.471556677E+03
 7.443175604E+03 7.414632808E+03 7.385926288E+03 7.357054016E+03 7.328013978E+03
 7.298804171E+03 7.269422526E+03 7.239866948E+03 7.210135361E+03 7.180225690E+03
 7.150135776E+03 7.119863442E+03 7.089406528E+03 7.058762867E+03 7.027930191E+03
 6.996906215E+03 6.965688672E+03 6.934275282E+03 6.902663639E+03 6.870851331E+03
 6.838835962E+03 6.806615108E+03 6.774186204E+03 6.741546676E+03 6.708693971E+03
 6.675625495E+03 6.642338497E+03 6.608830219E+03 6.575097925E+03 6.541138827E+03
 6.506949955E+03 6.472528329E+03 6.437870993E+03 6.402974933E+03 6.367836929E+03
 6.332453744E+03 6.296822169E+03 6.260938968E+03 6.224800763E+03 6.188404175E+03
 6.151745849E+03 6.114822431E+03 6.077630491E+03 6.040166603E+03 6.002427371E+03
 5.964409379E+03 5.926109037E+03 5.887522730E+03 5.848646870E+03 5.809477842E+03
 5.770011739E+03 5.730244562E+03 5.690172345E+03 5.649791109E+03 5.609096529E+03
 5.568084122E+03 5.526749439E+03 5.485088033E+03 5.443095096E+03 5.400765559E+03
 5.358094386E+03 5.315076566E+03 5.271706752E+03 5.227979219E+03 5.183888266E+03
 5.139428230E+03 5.094593173E+03 5.049376641E+03 5.003772166E+03 4.957773330E+03
 4.911373522E+03 4.864565427E+03 4.817341635E+03 4.769694793E+03 4.721617422E+03
 4.673101013E+03 4.624136713E+03 4.574715728E+03 4.524829273E+03 4.474467819E+03
 4.423621316E+03 4.372279773E+03 4.320433248E+03 4.268070691E+03 4.215179416E+03
 4.161746687E+03 4.107759859E+03 4.053205753E+03 3.998069274E+03 3.942335024E+03
 3.885987712E+03 3.829012190E+03 3.771393707E+03 3.713117759E+03 3.654169944E+03
 3.594536094E+03 3.534206385E+03 3.473176045E+03 3.411440621E+03 3.348995693E+03
 3.285838202E+03 3.221969163E+03 3.157390361E+03 3.092103569E+03 3.026112620E+03
 2.959441113E+03 2.892123497E+03 2.824194116E+03 2.755686901E+03 2.686624090E+03
 2.617009920E+03 2.546847059E+03 2.476138157E+03 2.404908892E+03 2.333301849E+03
 2.261495790E+03 2.189668337E+03 2.117999197E+03 2.046745472E+03 1.976243621E+03
 1.906831673E+03 1.838845496E+03 1.772521908E+03 1.707746742E+03 1.644327792E+03
 1.582074065E+03 1.520795578E+03 1.460300213E+03 1.400394208E+03 1.340884921E+03
 1.281580929E+03 1.222357245E+03 1.163305210E+03 1.104560056E+03 1.046256170E+03
 9.885260230E+02 9.314809953E+02 8.752138548E+02 8.198161768E+02 7.653789716E+02
 7.120050878E+02 6.598450510E+02 6.090602272E+02 5.598109955E+02 5.122557488E+02
 4.665221427E+02 4.227030883E+02 3.808890762E+02 3.411700450E+02 3.036280313E+02
 2.683008097E+02 2.352098022E+02 2.043762705E+02 1.758207209E+02 1.494995706E+02
 1.252510213E+02 1.029013831E+02 8.227798907E+01 6.321165028E+01 4.556524083E+01
 2.922370069E+01 1.407305652E+01 0.000000000E+00
-6.909341526E-01-6.921621200E-01-6.932101463E-01-6.942528354E-01-6.953338288E-01
-6.964843305E-01-6.976666117E-01-6.988529278E-01-7.000471427E-01-7.012604253E-01
-7.024810150E-01-7.037068106E-01-7.049404207E-01-7.062005376E-01-7.074647153E-01
-7.087297045E-01-7.099943922E-01-7.112785112E-01-7.125592518E-01-7.138343115E-01
-7.151060699E-01-7.163809048E-01-7.176493506E-01-7.189051501E-01-7.201502990E-01
-7.213880879E-01-7.226123003E-01-7.238174097E-01-7.250044836E-01-7.261731608E-01
-7.273200492E-01-7.284419245E-01-7.295374552E-01-7.306047601E-01-7.316419979E-01
-7.326478301E-01-7.336186449E-01-7.345513679E-01-7.354458816E-01-7.363016239E-01
-7.371132820E-01-7.378768866E-01-7.385927873E-01-7.392623363E-01-7.398779615E-01
-7.404345868E-01-7.409335613E-01-7.413788143E-01-7.417596066E-01-7.420695639E-01
-7.423120492E-01-7.424928146E-01-7.425974918E-01-7.426113576E-01-7.425505058E-01
-7.424200926E-01-7.422131592E-01-7.419181731E-01-7.415450751E-01-7.411099535E-01
-7.406009948E-01-7.400156598E-01-7.393648727E-01-7.386547430E-01-7.378836649E-01
-7.370413684E-01-7.361364390E-01-7.351840472E-01-7.341724810E-01-7.330958506E-01
-7.319684938E-01-7.307939413E-01-7.295670134E-01-7.282876238E-01-7.269588290E-01
-7.255869262E-01-7.241721989E-01-7.227065740E-01-7.211948037E-01-7.196499949E-01
-7.180654447E-01-7.164297264E-01-7.147548525E-01-7.130523911E-01-7.113115737E-01
-7.095262294E-01-7.077086590E-01-7.058641651E-01-7.039835657E-01-7.020654486E-01
-7.001194832E-01-6.981474832E-01-6.961425101E-01-6.941051618E-01-6.920432331E-01
-6.899572684E-01-6.878413989E-01-6.856966969E-01-6.835303442E-01-6.813427322E-01
-6.791278751E-01-6.768863918E-01-6.746259624E-01-6.723478641E-01-6.700450818E-01
-6.677164527E-01-6.653706977E-01-6.630116974E-01-6.606315769E-01-6.582253629E-01
-6.558009593E-01-6.533659294E-01-6.509155452E-01-6.484428312E-01-6.459506680E-01
-6.434461205E-01-6.409298969E-01-6.383977848E-01-6.358483606E-01-6.332841583E-01
-6.307073967E-01-6.281188124E-01-6.255185543E-01-6.229048734E-01-6.202757159E-01
-6.176334869E-01-6.149837334E-01-6.123273299E-01-6.096576899E-01-6.069701355E-01
-6.042697637E-01-6.015634152E-01-5.988514075E-01-5.961299395E-01-5.933969092E-01
-5.906530776E-01-5.878997285E-01-5.851394772E-01-5.823751051E-01-5.796051385E-01
-5.768241943E-01-5.740293924E-01-5.712254441E-01-5.684179416E-01-5.656074419E-01
-5.627912412E-01-5.599672665E-01-5.571349302E-01-5.542940916E-01-5.514469813E-01
-5.485971477E-01-5.457458799E-01-5.428895130E-01-5.400241496E-01-5.371501376E-01
-5.342704746E-01-5.313877390E-01-5.285033300E-01-5.256182684E-01-5.227306886E-01
-5.198362522E-01-5.169318955E-01-5.140203913E-01-5.111060626E-01-5.081914049E-01
-5.052762526E-01-5.023600734E-01-4.994408135E-01-4.965155825E-01-4.935827395E-01
-4.906447478E-01-4.877048551E-01-4.847648995E-01-4.818248382E-01-4.788843738E-01
-4.759418763E-01-4.729949180E-01-4.700418578E-01-4.670844545E-01-4.641253698E-01
-4.611663650E-01-4.582073889E-01-4.552481518E-01-4.522879149E-01-4.493254532E-01
-4.463596599E-01-4.433908168E-01-4.404200509E-01-4.374483808E-01-4.344762116E-01
-4.315037275E-01-4.285310401E-01-4.255580220E-01-4.225844965E-01-4.196101785E-01
-4.166345434E-01-4.136570533E-01-4.106777790E-01-4.076977010E-01-4.047178453E-01
-4.017387508E-01-3.987604161E-01-3.957827953E-01-3.928055457E-01-3.898280649E-01
-3.868497918E-01-3.838707670E-01-3.808914707E-01-3.779123759E-01-3.749338190E-01
-3.719560473E-01-3.689793001E-01-3.660037830E-01-3.630296806E-01-3.600571329E-01
-3.570858421E-01-3.541152552E-01-3.511448779E-01-3.481748274E-01-3.452055942E-01
-3.422376555E-01-3.392713271E-01-3.363068148E-01-3.333443159E-01-3.303839654E-01
-3.274258499E-01-3.244700508E-01-3.215165986E-01-3.185654742E-01-3.156166549E-01
-3.126700518E-01-3.097254926E-01-3.067828051E-01-3.038420838E-01-3.009038837E-01
-2.979687986E-01-2.950372634E-01-2.921093149E-01-2.891849266E-01-2.862641111E-01
-2.833470428E-01-2.804339364E-01-2.775249775E-01-2.746201539E-01-2.717193660E-01
-2.688225239E-01-2.659296704E-01-2.630409510E-01-2.601565139E-01-2.572766068E-01
-2.544016164E-01-2.515319360E-01-2.486678913E-01-2.458096297E-01-2.429572666E-01
-2.401109220E-01-2.372707538E-01-2.344369329E-01-2.316096329E-01-2.287891009E-01
-2.259756460E-01-2.231695745E-01-2.203710365E-01-2.175798855E-01-2.147959427E-01
-2.120191332E-01-2.092499036E-01-2.064888607E-01-2.037365937E-01-2.009934911E-01
-1.982597740E-01-1.955356559E-01-1.928213753E-01-1.901172308E-01-1.874235265E-01
-1.847405654E-01-1.820686670E-01-1.794081559E-01-1.767593532E-01-1.741225854E-01
-1.714981872E-01-1.688864905E-01-1.662878430E-01-1.637026832E-01-1.611314726E-01
-1.585746623E-01-1.560325557E-01-1.535053036E-01-1.509930479E-01-1.484960372E-01
-1.460149502E-01-1.435505663E-01-1.411036505E-01-1.386748126E-01-1.362645088E-01
-1.338731841E-01-1.315013035E-01-1.291494323E-01-1.268181579E-01-1.245080630E-01
-1.222197548E-01-1.199538713E-01-1.177110460E-01-1.154919153E-01-1.132971659E-01
-1.111274986E-01-1.089836072E-01-1.068662067E-01-1.047760551E-01-1.027139079E-01
-1.006805190E-01-9.867670363E-02-9.670331205E-02-9.476118690E-02-9.285118395E-02
-9.097422547E-02-8.913124096E-02-8.732315201E-02-8.555091583E-02-8.381553883E-02
-8.211802165E-02-8.045936948E-02-7.884071151E-02-7.726323972E-02-7.572813552E-02
-7.423660041E-02-7.278993778E-02-7.138946429E-02-7.003648393E-02-6.873226854E-02
-6.747804615E-02-6.627503042E-02-6.512445512E-02-6.402803943E-02-6.298788288E-02
-6.200607680E-02-6.108450796E-02-6.022380386E-02-5.942407630E-02-5.868543407E-02
-5.800759992E-02-5.738899188E-02-5.682776426E-02-5.632208731E-02-5.587016522E-02
-5.547025233E-02-5.512062169E-02-5.481956338E-02-5.456545594E-02-5.435677859E-02
-5.419202829E-02-5.406971361E-02-5.398834065E-02-5.394641639E-02-5.394245996E-02
-5.397500908E-02-5.404267098E-02-5.414409499E-02-5.427794188E-02-5.444288669E-02
-5.463763563E-02-5.486091329E-02-5.511145470E-02-5.538801071E-02-5.568936786E-02
-5.601432989E-02-5.636171025E-02-5.673033542E-02-5.711905404E-02-5.752672694E-02
-5.795222411E-02-5.839442609E-02-5.885222717E-02-5.932453138E-02-5.981025149E-02
-6.030831065E-02-6.081764560E-02-6.133720239E-02-6.186593537E-02-6.240279897E-02
-6.294673331E-02-6.349668299E-02-6.405160086E-02-6.461045530E-02-6.517224345E-02
-6.573597387E-02-6.630066289E-02-6.686537440E-02-6.742930330E-02-6.799167462E-02
-6.855171933E-02-6.910866554E-02-6.966171556E-02-7.021007064E-02-7.075293816E-02
