#psi, P, q
4.335937500000000000e-01 8.729601108999999269e+03 1.774763309999999983e+00
4.355468750000000000e-01 8.703845644999999422e+03 1.779102769000000084e+00
4.375000000000000000e-01 8.677997805000000881e+03 1.783474172000000024e+00
4.394531250000000000e-01 8.652058161000000837e+03 1.787877806000000014e+00
4.414062500000000000e-01 8.626027251999999862e+03 1.792313948999999962e+00
4.433593750000000000e-01 8.599904902000000220e+03 1.796782850999999903e+00
4.453125000000000000e-01 8.573690242999999100e+03 1.801284732999999916e+00
4.472656250000000000e-01 8.547382443000000421e+03 1.805819810000000025e+00
4.492187500000000000e-01 8.520982573999999659e+03 1.810388303999999948e+00
4.511718750000000000e-01 8.494494086000000607e+03 1.814990445999999924e+00
4.531250000000000000e-01 8.467920490000000427e+03 1.819626463999999944e+00
4.550781250000000000e-01 8.441261024999999790e+03 1.824296587999999941e+00
4.570312500000000000e-01 8.414507568999999421e+03 1.829001064999999926e+00
4.589843750000000000e-01 8.387651382000000012e+03 1.833740133000000050e+00
4.609374999999999445e-01 8.360691724000000249e+03 1.838513830999999987e+00
4.628906250000000555e-01 8.333648284999999305e+03 1.843321675000000104e+00
4.648437500000000000e-01 8.306543772000000899e+03 1.848163103000000085e+00
4.667968750000000000e-01 8.279395914000000630e+03 1.853037604000000060e+00
4.687500000000000000e-01 8.252202558999999383e+03 1.857944851999999925e+00
4.707031249999999445e-01 8.224956432000000859e+03 1.862884570999999934e+00
4.726562499999999445e-01 8.197668138999999428e+03 1.867856404000000081e+00
4.746093750000000555e-01 8.170479497999999694e+03 1.872859357000000058e+00
4.765625000000000000e-01 8.143589371000000028e+03 1.877892168000000028e+00
4.785156250000000000e-01 8.117191155999999864e+03 1.882953604999999975e+00
4.804687500000000000e-01 8.091425406000000294e+03 1.888042773000000007e+00
4.824218749999999445e-01 8.066391612999999779e+03 1.893159035999999906e+00
4.843750000000000555e-01 8.042184143999999833e+03 1.898301800999999900e+00
4.863281250000000000e-01 8.018760647000000063e+03 1.903471837999999972e+00
4.882812500000000000e-01 7.995888014000000112e+03 1.908671819999999908e+00
4.902343750000000000e-01 7.973321503000000121e+03 1.913904531000000020e+00
4.921874999999999445e-01 7.950840651999999864e+03 1.919172759999999922e+00
4.941406249999999445e-01 7.928287339000000429e+03 1.924479362000000027e+00
4.960937500000000555e-01 7.905515663999999560e+03 1.929827173000000062e+00
4.980468750000000000e-01 7.882394870000000083e+03 1.935218877999999920e+00
5.000000000000000000e-01 7.858879831999999624e+03 1.940656369000000048e+00
5.019531250000000000e-01 7.834958456999999726e+03 1.946141227999999890e+00
5.039062500000000000e-01 7.810619885000000068e+03 1.951674987000000083e+00
5.058593750000000000e-01 7.785871126000000004e+03 1.957258715999999898e+00
5.078125000000000000e-01 7.760734185999999681e+03 1.962893095999999948e+00
5.097656250000000000e-01 7.735231238000000303e+03 1.968578785999999914e+00
5.117187500000000000e-01 7.709376624000000447e+03 1.974316578999999905e+00
5.136718750000000000e-01 7.683169845000000350e+03 1.980107534999999919e+00
5.156250000000000000e-01 7.656608736000000135e+03 1.985952732000000109e+00
5.175781250000000000e-01 7.629692606999999953e+03 1.991853214999999899e+00
5.195312500000000000e-01 7.602428184999999758e+03 1.997809917000000102e+00
5.214843750000000000e-01 7.574824480000000221e+03 2.003823726999999888e+00
5.234375000000000000e-01 7.546890368000000308e+03 2.009895517999999992e+00
5.253906250000000000e-01 7.518633960000000116e+03 2.016026026000000027e+00
